#iter      energy      fermi    charge
  0  -4845.101069  -4.733395  0.000000
  1  -4845.101102  -4.959772  0.002514
  2  -4845.101104  -5.161726  0.004799
  3  -4845.101110  -5.049721  0.003552
  4  -4845.101109  -5.010475  0.003124
  5  -4845.101110  -5.031483  0.003334
  6  -4845.101109  -5.026965  0.003330
  7  -4845.101110  -5.030499  0.003323
