free energy,fermi,nelect,filename,grand_potential,pot_she,charge
-65919.60255204239,-4.8681,227.8,charge+0.2.out,-65920.57617204239,-0.37490000000000023,0.19999999999998863
-65920.08438881699,-4.7476,227.9,charge+0.1.out,-65920.55914881699,-0.49540000000000006,0.09999999999999432
-65920.55677768363,-4.5922,228.0,charge-0.0.out,-65920.55677768363,-0.6508000000000003,0.0
-65921.0208558036,-4.5336,228.1,charge-0.1.out,-65920.5674958036,-0.7094000000000005,-0.09999999999999432
-65921.48010826725,-4.5045,228.2,charge-0.2.out,-65920.57920826726,-0.7385000000000002,-0.19999999999998863
